"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Effect.size.code","Experiment.code","Trait.category","Trait","Sex","Rearing.temperature","es","v","diff","reftemp","treattemp"
"11","Good","HUM169",2109,41,"19A","Kumari & Sadana",1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE","10.1007/BF01246091","Amblyseius alstoniae","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM169_5","HUM169E","Longevity","Longevity (DAYS)","Female",NA,-41.4460700973509,86.288836325726,-5,25,20
"12","Good","HUM169",2109,41,"19A","Kumari & Sadana",1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE","10.1007/BF01246091","Amblyseius alstoniae","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM169_6","HUM169F","Reproduction","Fecundity","Female",NA,-28.2590842466258,40.3287921228947,-5,25,20
"13","Good","HUM169",2109,41,"19A","Kumari & Sadana",1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE","10.1007/BF01246091","Amblyseius alstoniae","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM169_8","HUM169H","Longevity","Longevity (DAYS)","Female",NA,-5.0150185204245,1.65752053801004,-5,25,20
"14","Good","HUM169",2109,41,"19A","Kumari & Sadana",1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE","10.1007/BF01246091","Amblyseius alstoniae","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM169_9","HUM169I","Reproduction","Fecundity (Total Eggs)","Female",NA,-14.2451973956782,10.5462824420919,-5,25,20
"15","Good","HUM176",2113,41,"19A","Lin et al.",2020,"Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya","10.11158/saa.25.3.8","Eutetranychus africanus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Less than 24 hrs","Adult","No","Constant","No","HUM176_2","HUM176B","Longevity","Longevity (DAYS)","Female",NA,1.82688767347849,0.160766601191465,-10,27,17
"16","Good","HUM176",2113,41,"19A","Lin et al.",2020,"Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya","10.11158/saa.25.3.8","Eutetranychus africanus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Less than 24 hrs","Adult","No","Constant","No","HUM176_3","HUM176C","Reproduction","Eggs per female","Female",NA,-0.233399317968269,0.11972855956797,-10,27,17
"17","Good","HUM209",2131,41,"19B","Mota et al.",2008,"Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi","10.1007/s10526-007-9101-5","Clitostethus arcuatus","Coccinellidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Natural","Terrestrial",NA,NA,NA,"Natural variation","Mix","No","Constant",NA,"HUM209_1","HUM209A","Longevity","Longevity (DAYS)","Female",NA,1.32132360649861,0.121823700913631,-10,25,15
"18","Good","HUM209",2131,41,"19B","Mota et al.",2008,"Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi","10.1007/s10526-007-9101-5","Clitostethus arcuatus","Coccinellidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Natural","Terrestrial",NA,NA,NA,"Natural variation","Mix","No","Constant",NA,"HUM209_3","HUM209C","Reproduction","Fecundity (number of laid eggs)","Female",NA,-0.822560274408719,0.108457567562942,-10,25,15
"19","Good","HUM209",2131,41,"19B","Mota et al.",2008,"Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi","10.1007/s10526-007-9101-5","Clitostethus arcuatus","Coccinellidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Natural","Terrestrial",NA,NA,NA,"Natural variation","Mix","No","Constant",NA,"HUM209_4","HUM209C","Reproduction","Fertility (number of eggs with embryos)","Female",NA,-1.20314908864595,0.11809459661887,-10,25,15
"20","Good","HUM22",2018,39,"24A","Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES","10.1016/0022-474X(91)90032-8","Anthrenus sarnicus","Dermestidae","Insecta","Arthropoda","Both sexes","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM22_2","HUM22B","Longevity","Longevity of ovipositing females","Female",NA,1.06433659575628,0.152213539817768,-10,25,15
"21","Good","HUM22",2018,39,"24A","Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES","10.1016/0022-474X(91)90032-8","Anthrenus sarnicus","Dermestidae","Insecta","Arthropoda","Both sexes","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM22_4","HUM22B","Reproduction","Eggs per female","Female",NA,-0.622052204371173,0.139782482416051,-10,25,15
"22","Good","HUM220",2140,41,"19A","Oliveira et al.",2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements","10.1590/1519-6984.180501","Corythucha gossypii","Tingidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Natural","Terrestrial",NA,NA,NA,"Natural variation","Mix","No","Constant",NA,"HUM220_2","HUM220A","Longevity","Longevity (DAYS)","Female",NA,-4.55467445749921,1.65250330076643,-5,25,20
"23","Good","HUM220",2140,41,"19A","Oliveira et al.",2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements","10.1590/1519-6984.180501","Corythucha gossypii","Tingidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Natural","Terrestrial",NA,NA,NA,"Natural variation","Mix","No","Constant",NA,"HUM220_3","HUM220B","Reproduction","Fecundity (Total Eggs)","Female",NA,-0.0196628476307818,0.333349442815706,-2,25,23
"24","Good","HUM254",2160,42,"25A","Sanchez-Ramos & Castanera",2005,"Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae","10.1007/s10493-005-0506-5","Tyrophagus putrescentiae","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (> 4 days)","HUM254_1","HUM254A","Reproduction","eggs per female","Female",25,-2.8778851355628,0.0581507959053332,-15,25,10
"25","Good","HUM254",2160,42,"25A","Sanchez-Ramos & Castanera",2005,"Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae","10.1007/s10493-005-0506-5","Tyrophagus putrescentiae","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (> 4 days)","HUM254_2","HUM254A","Longevity","longevity (days)","Both sexes",25,18.4625178141491,1.24594487156348,-15,25,10
"26","Good","HUM254",2160,42,"25A","Sanchez-Ramos & Castanera",2005,"Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae","10.1007/s10493-005-0506-5","Tyrophagus putrescentiae","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (> 4 days)","HUM254_3","HUM254A","Longevity","longevity (days)","Both sexes",25,8.08795121499286,0.26219626734323,-15,25,10
"27","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256_1","HUM256A","Reproduction","eggs per female","Female",25,-0.615179685619572,0.0327283048656211,-15,25,10
"28","Good","HUM256",2163,42,"25A","Sanchez-Ramos et al. (b)",2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures","10.1007/s10493-007-9118-6","Tyrophagus neiswanderi","Acaridae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM256_2","HUM256A","Longevity","longevity (days)","Female",25,0.844355287048705,0.034034905667059,-15,25,10
"29","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257_1","HUM257A","Reproduction","Fecundity (eggs per female)","Female",25,-1.43186792879105,0.041077072365431,-18,25,7
"30","Good","HUM257",2161,42,"19C","Sanchez-Ramos & Castanera",2007,"Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae","10.1016/j.jspr.2007.03.008","Acarus farris","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","Yes (multiple generations)","HUM257_3","HUM257B","Longevity","Longevity (DAYS)","Female",25,2.14012806905414,0.0511163675497683,-18,25,7
"31","Good","HUM264",2167,42,"19B","Sengonca, C. and Liu, B.",1999,"Laboratory studies on the effect of temperature and humidity on the life table of the whitefly, Aleurotuberculatus takahashi David & Subramaniam (Hom., Aleyrodidae) from southeastern China",NA,"Aleurotuberculatus takahashi","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM264_1","HUM264A","Longevity","Longevity (DAYS)","Parthenogenetic",25,0.435831288440277,0.00905158575769456,-10,25,15
"32","Good","HUM264",2167,42,"19B","Sengonca, C. and Liu, B.",1999,"Laboratory studies on the effect of temperature and humidity on the life table of the whitefly, Aleurotuberculatus takahashi David & Subramaniam (Hom., Aleyrodidae) from southeastern China",NA,"Aleurotuberculatus takahashi","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM264_2","HUM264A","Reproduction","Fecundity (eggs per female)","Parthenogenetic",25,-0.230187719384763,0.00891267853068852,-10,25,15
"33","Good","HUM29",2024,39,"24A","Bahirai et al., 2019",2019,"Effect of temperature on life table parameters of Rhyncaphytoptus ficifoliae Keifer (Trombidiformes; Diptilomiopidae)","10.11158/saa.24.8.5","Rhyncaphytoptus ficifoliae","Diptilomiopidae","Arachnida","Arthropoda","Both sexes","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","HUM29_1","HUM29A","Longevity","Female longevity","Female",NA,2.26234500637417,0.0546591871994423,-8,25,17
"34","Good","HUM29",2024,39,"24A","Bahirai et al., 2019",2019,"Effect of temperature on life table parameters of Rhyncaphytoptus ficifoliae Keifer (Trombidiformes; Diptilomiopidae)","10.11158/saa.24.8.5","Rhyncaphytoptus ficifoliae","Diptilomiopidae","Arachnida","Arthropoda","Both sexes","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (>4 days)","HUM29_3","HUM29A","Reproduction","Eggs per female","Female",NA,-2.06141643127467,0.0510393237630383,-8,25,17
"35","Good","HUM298",2183,42,"20A","Throne",1994,"LIFE-HISTORY OF IMMATURE MAIZE WEEVILS (COLEOPTERA, CURCULIONIDAE) ON CORN STORED AT CONSTANT TEMPERATURES AND RELATIVE HUMIDITIES IN THE LABORATORY","10.1093/ee/23.6.1459","Sitophilus zeamais","Curculionidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM298_1","HUM298_A","Reproduction","nuber of eggs per day","Female",25,-27.4614870278453,15.249332062277,-15,25,10
"36","Good","HUM298",2183,42,"20A","Throne",1994,"LIFE-HISTORY OF IMMATURE MAIZE WEEVILS (COLEOPTERA, CURCULIONIDAE) ON CORN STORED AT CONSTANT TEMPERATURES AND RELATIVE HUMIDITIES IN THE LABORATORY","10.1093/ee/23.6.1459","Sitophilus zeamais","Curculionidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM298_3","HUM298_A","Longevity","Adult survival","Both sexes",25,-1.2091897976844,0.236553499170601,-10,25,15
"37","Good","HUM302",2186,42,"19B","Uygun et al.",1993,"LABORATORY STUDIES OF THE EFFECT OF TEMPERATURE AND HUMIDITY ON DEVELOPMENT AND FECUNDITY OF PARABEMISIA-MYRICAE (KUWANA) (HOMOPTERA, ALEYRODIDAE)",NA,"Parabemisia myrica","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM302_1","HUM302A","Longevity","Longevity (DAYS)","Parthenogenetic",25,2.24149856384124,0.0422990652438261,-10,25,15
"38","Good","HUM302",2186,42,"19B","Uygun et al.",1994,"LABORATORY STUDIES OF THE EFFECT OF TEMPERATURE AND HUMIDITY ON DEVELOPMENT AND FECUNDITY OF PARABEMISIA-MYRICAE (KUWANA) (HOMOPTERA, ALEYRODIDAE)",NA,"Parabemisia myrica","Aleyrodidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM302_2","HUM302A","Reproduction","Fecundity (eggs per female)","Parthenogenetic",25,-1.71749492616119,0.035734106413722,-10,25,15
"39","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_1","HUM316_A","Reproduction","Eggs per female","Female",24,-1.05341288606995,0.0916120849919845,-4,24,20
"40","Good","HUM316",2193,42,"20A","Xia et al.",2009,"Effect of temperature on the life cycle of Aleuroglyphus ovatus (Acari: Acaridae) at four constant temperatures","10.1016/j.jspr.2009.02.001","Aleuroglyphus ovatus","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM316_3","HUM316_A","Longevity","total adult longevity","Female",24,1.16857888085638,0.0941710639144377,-4,24,20
"41","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317_1","HUM317A","Reproduction","eggs per female","Female",24,-4.93007541779197,0.278579029608969,-8,24,16
"42","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317_2","HUM317A","Longevity","longevity (days)","Female",24,0.772698997536577,0.0741947202613607,-8,24,16
"43","Good","HUM319",2196,42,"25B","Yali et al.",2012,"Life history traits of Tetranycopsis horridus (Canestrini and Fanzago) (Acari: Tetranychidae) at three constant temperatures","10.1080/01647954.2011.633560","Tetranycopsis horridus","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM319_1","HUM319A","Reproduction","eggs per female","Parthenogenetic",NA,-0.391696237387548,0.101917824279795,-10,25,15
"44","Good","HUM319",2196,42,"25B","Yali et al.",2012,"Life history traits of Tetranycopsis horridus (Canestrini and Fanzago) (Acari: Tetranychidae) at three constant temperatures","10.1080/01647954.2011.633560","Tetranycopsis horridus","Tetranychidae","Arachnida","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM319_2","HUM319A","Longevity","longevity (days)","Parthenogenetic",NA,0.971274420050759,0.111792174988062,-10,25,15
"45","Good","HUM323",2198,42,"25B","Yanik & Unlu",2011,"Influences of temperature and humidity on the life history parameters and prey consumption of Anthocoris minki Dohrn (Heteroptera: Anthocoridae)","10.1007/s13355-011-0029-y","Anthocoris minki","Anthocoridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM323_1","HUM323A","Reproduction","eggs per female","Female",25,0.385189193272673,0.0806471614330083,-5,25,20
"46","Good","HUM323",2198,42,"25B","Yanik & Unlu",2011,"Influences of temperature and humidity on the life history parameters and prey consumption of Anthocoris minki Dohrn (Heteroptera: Anthocoridae)","10.1007/s13355-011-0029-y","Anthocoris minki","Anthocoridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM323_2","HUM323B","Longevity","female","Female",25,0.025541517046797,0.0934858465566937,-5,25,20
"47","Good","HUM329",2203,42,"25B","Zou et al.",2018,"Effect of temperature on development and reproduction of the carmine spider mite, Tetranychus cinnabarinus (Acari: Tetranychiae), fed on cassava leaves","10.1007/s10493-018-0241-3","Tetranychus cinnabarinus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM329_1","HUM329A","Reproduction","eggs per female","Female",25,-2.53536471542792,0.160708761399457,-8,24,16
"48","Good","HUM329",2203,42,"25B","Zou et al.",2018,"Effect of temperature on development and reproduction of the carmine spider mite, Tetranychus cinnabarinus (Acari: Tetranychiae), fed on cassava leaves","10.1007/s10493-018-0241-3","Tetranychus cinnabarinus","Tetranychidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","Yes (multiple generations)","HUM329_2","HUM329A","Longevity","longevity (days)","Female",25,2.21998376507236,0.144044913365546,-8,24,16
"49","Good","HUM40",2031,39,"18B","Borowiak-Sobkowiak, 2017",2017,"EFFECT OF TEMPERATURE ON THE BIOLOGICAL PARAMETERS OF APHIS CRACCIVORA (HEMIPTERA APHIDIDAE) ON ROBINIA PSEUDOACACIA","10.19263/REDIA-100.17.07","Apis craccivora","Apidae","Insecta","Arthropoda","Both sexes","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","HUM40_1","HUM40A","Longevity","Longevity (days)","Female",NA,4.07395110682383,0.307463470259889,-15,25,10
