"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevtiy","v_longevtiy"
"11","Good","TEMP731",661,12,"6A","Haque, M. M.; Kawai, A.",2003,"Effect of temperature on development and reproduction of the tomato russet mite, Aculops lycopersici (Massee) (Acari : Eriophyidae)","10.1303/aez.2003.97","Aculops lycopersici","Eriophyidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Japan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP731A","Female",25,-10,25,15,"Cool",NA,NA,1.748588745,0.104343506
"12","Good","TEMP731",661,12,"6A","Haque, M. M.; Kawai, A.",2003,"Effect of temperature on development and reproduction of the tomato russet mite, Aculops lycopersici (Massee) (Acari : Eriophyidae)","10.1303/aez.2003.97","Aculops lycopersici","Eriophyidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Japan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP731A","Female",25,-10,25,15,"Cool",-0.749074655,0.080792093,NA,NA
"13","Good","TEMP731",661,12,"6A","Haque, M. M.; Kawai, A.",2003,"Effect of temperature on development and reproduction of the tomato russet mite, Aculops lycopersici (Massee) (Acari : Eriophyidae)","10.1303/aez.2003.97","Aculops lycopersici","Eriophyidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Japan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP731A","Female",25,-5,25,20,"Cool",NA,NA,0.980944471,0.077590378
"14","Good","TEMP731",661,12,"6A","Haque, M. M.; Kawai, A.",2003,"Effect of temperature on development and reproduction of the tomato russet mite, Aculops lycopersici (Massee) (Acari : Eriophyidae)","10.1303/aez.2003.97","Aculops lycopersici","Eriophyidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Japan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP731A","Female",25,-5,25,20,"Cool",-0.500136977,0.071451455,NA,NA
"15","Good","TEMP731",661,12,"6A","Haque, M. M.; Kawai, A.",2003,"Effect of temperature on development and reproduction of the tomato russet mite, Aculops lycopersici (Massee) (Acari : Eriophyidae)","10.1303/aez.2003.97","Aculops lycopersici","Eriophyidae","Arachnida","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Japan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP731A","Female",25,5,25,30,"Warm",NA,NA,-2.277795288,0.132398812
"16","Good","TEMP731",661,12,"6A","Haque, M. M.; Kawai, A.",2003,"Effect of temperature on development and reproduction of the tomato russet mite, Aculops lycopersici (Massee) (Acari : Eriophyidae)","10.1303/aez.2003.97","Aculops lycopersici","Eriophyidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Japan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP731A","Female",25,5,25,30,"Warm",-0.204436242,0.08093324,NA,NA
"17","Good","TEMP1165",1033,19,"C","Liu, J. P.et al.",2021,"Impact of Temperature on Survival Rate, Fecundity, and Feeding Behavior of Two Aphids, Aphis gossypii and Acyrthosiphon gossypii, When Reared on Cotton","10.3390/insects12060565","Acyrthosiphon gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1165_B","Female",29,3,29,32,"Warm",-8.979493366,0.238138369,NA,NA
"18","Good","TEMP1165",1033,19,"C","Liu, J. P.et al.",2021,"Impact of Temperature on Survival Rate, Fecundity, and Feeding Behavior of Two Aphids, Aphis gossypii and Acyrthosiphon gossypii, When Reared on Cotton","10.3390/insects12060565","Acyrthosiphon gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1165_B","Female",29,3,29,32,"Warm",NA,NA,-5.509090872,0.102108528
"19","Good","TEMP1165",1033,19,"C","Liu, J. P.et al.",2021,"Impact of Temperature on Survival Rate, Fecundity, and Feeding Behavior of Two Aphids, Aphis gossypii and Acyrthosiphon gossypii, When Reared on Cotton","10.3390/insects12060565","Acyrthosiphon gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1165_B","Female",29,6,29,35,"Warm",-10.04729484,0.293103136,NA,NA
"20","Good","TEMP1165",1033,19,"C","Liu, J. P.et al.",2021,"Impact of Temperature on Survival Rate, Fecundity, and Feeding Behavior of Two Aphids, Aphis gossypii and Acyrthosiphon gossypii, When Reared on Cotton","10.3390/insects12060565","Acyrthosiphon gossypii","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1165_B","Female",29,6,29,35,"Warm",NA,NA,-8.959732658,0.237179334
"21","Good","TEMP894",789,14,"7A","Jalali, M. A.et al.",2009,"Effects of food and temperature on development, fecundity and life-table parameters of Adalia bipunctata (Coleoptera: Coccinellidae)","10.1111/j.1439-0418.2009.01408.x","Adalia bipunctata","Coccinellidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP894A","Female",23,-4,23,19,"Cool",NA,NA,0.758091225,0.12267308
"22","Good","TEMP894",789,14,"7A","Jalali, M. A.et al.",2009,"Effects of food and temperature on development, fecundity and life-table parameters of Adalia bipunctata (Coleoptera: Coccinellidae)","10.1111/j.1439-0418.2009.01408.x","Adalia bipunctata","Coccinellidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP894A","Female",23,-4,23,19,"Cool",0.005881565,0.1149073,NA,NA
"23","Good","TEMP894",789,14,"7A","Jalali, M. A.et al.",2009,"Effects of food and temperature on development, fecundity and life-table parameters of Adalia bipunctata (Coleoptera: Coccinellidae)","10.1111/j.1439-0418.2009.01408.x","Adalia bipunctata","Coccinellidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP894A","Female",23,4,23,27,"Warm",NA,NA,-0.77665801,0.123058152
"24","Good","TEMP894",789,14,"7A","Jalali, M. A.et al.",2009,"Effects of food and temperature on development, fecundity and life-table parameters of Adalia bipunctata (Coleoptera: Coccinellidae)","10.1111/j.1439-0418.2009.01408.x","Adalia bipunctata","Coccinellidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP894A","Female",23,4,23,27,"Warm",-0.495402137,0.118223363,NA,NA
"25","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-20,30,10,"Cool",NA,NA,1.786890285,0.036036863
"26","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-20,30,10,"Cool",-3.651112591,0.079898109,NA,NA
"27","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-15,30,15,"Cool",NA,NA,1.173667438,0.028182053
"28","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-15,30,15,"Cool",-1.08317713,0.02729847,NA,NA
"29","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-10,30,20,"Cool",NA,NA,1.049606917,0.026988696
"30","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-10,30,20,"Cool",0.875086438,0.025535408,NA,NA
"31","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-5,30,25,"Cool",NA,NA,0.102109981,0.022267333
"32","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-5,30,25,"Cool",1.406901325,0.030786113,NA,NA
"33","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,5,30,35,"Warm",NA,NA,-2.897662431,0.058550048
"34","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris fasciaticollis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,5,30,35,"Warm",-2.896634263,0.058524272,NA,NA
"35","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-20,30,10,"Cool",NA,NA,5.397086925,0.148248948
"36","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-20,30,10,"Cool",-4.67959069,0.116967934,NA,NA
"37","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-15,30,15,"Cool",NA,NA,5.717169518,0.163640637
"38","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-15,30,15,"Cool",-1.591838558,0.033185537,NA,NA
"39","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-10,30,20,"Cool",NA,NA,1.889686675,0.037672042
"40","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-10,30,20,"Cool",-0.52618257,0.023420112,NA,NA
"41","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-5,30,25,"Cool",NA,NA,1.739307091,0.035310918
"42","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-5,30,25,"Cool",0.502248247,0.023313614,NA,NA
"43","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,5,30,35,"Warm",NA,NA,-2.019451622,0.039866778
"44","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris lineolatus","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,5,30,35,"Warm",-2.868078053,0.05781204,NA,NA
"45","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-20,30,10,"Cool",NA,NA,6.379463006,0.198303051
"46","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-20,30,10,"Cool",-2.234905725,0.043832594,NA,NA
"47","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-15,30,15,"Cool",NA,NA,6.485578916,0.204209623
"48","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-15,30,15,"Cool",-0.506246779,0.023331061,NA,NA
"49","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-10,30,20,"Cool",NA,NA,3.389432547,0.071926963
"50","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-10,30,20,"Cool",1.156693611,0.028010915,NA,NA
"51","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-5,30,25,"Cool",NA,NA,1.363103679,0.030261214
"52","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,-5,30,25,"Cool",1.148913105,0.027933302,NA,NA
"53","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,5,30,35,"Warm",NA,NA,-1.998701646,0.039506043
"54","Good","TEMP1197",1059,20,"10A","Lu, Y.et al.",2009,"Comparative study of temperature-dependent life histories of three economically important Adelphocoris spp","10.1111/j.1365-3032.2009.00692.x","Adelphocoris suturalis","Miridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","TEMP1197A","Female",29,5,30,35,"Warm",-1.533946032,0.032402602,NA,NA
"55","Good","TEMP192",235,3,NA,"Beserra et al",2009,"Effects of temperature on life cicle, thermal exigency and number of generations per year estimation of Aedes aegypti (Diptera, Culicidae","10.1590/S0073-47212009000200004","Aedes aegypti","Culicidae","Insecta","Arthropoda","Both","Internal","Other","Lab","Wild-caught","Experimental","Both","Brazil","South America",NA,"More than 5 days","Adult","No","constant","no","TEMP192_A","Female",NA,-8,26,18,"Cool",-2.623428641,0.040954977,NA,NA
"56","Good","TEMP192",235,3,NA,"Beserra et al",2009,"Effects of temperature on life cicle, thermal exigency and number of generations per year estimation of Aedes aegypti (Diptera, Culicidae","10.1590/S0073-47212009000200004","Aedes aegypti","Culicidae","Insecta","Arthropoda","Both","Internal","Other","Lab","Wild-caught","Experimental","Both","Brazil","South America",NA,"More than 5 days","Adult","No","constant","no","TEMP192_A","Female",NA,-8,26,18,"Cool",NA,NA,-0.452219573,0.020622655
