,Status,Paper.code,Paper.number,Screening.set,Extraction.set,Paper,Publication.year,Title,DOI,Species.latin,Family,Class,Phylum,Sex.exposed,Fertilisation.mode,Agricultural.importance,Lab.or.field,Animal.origin,Stressor.variation,Habitat,Country.of.origin,Continent.of.origin,Ocean.sea.of.origin,Exposure.duration,Life.stage.of.animal,Lowest.temp.below.10.C.,Constant.or.fluctuating.,Acclimated.,Effect.size.code,Experiment.code,Trait.category,Trait,Sex,Rearing.temperature,es,v,diff,reftemp,treattemp,warm.cool
936,Good,HUM130,2084,40,18A,Honarparvar et al.,2012,"Effect of temperature on development and fecundity of the brown mite, Bryobia rubrioculus Scheuten (Acari: Tetranychidae)",10.4001/003.020.0109,Bryobia rubrioculus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM130_1,HUM130A,Longevity,Longevity (days),Female,25,-0.336142908,0.32456724,10,25,35,Warm
1222,Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,0.412274907,0.136166177,-10,26,16,Cool
1224,Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,0.131871639,0.133623169,-7,26,19,Cool
1226,Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,0.088580998,0.13346411,-4,26,22,Cool
1228,Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,0,0,0,26,26,Reference
1230,Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,0.009067411,0.133334704,4,26,30,Warm
1232,Good,HUM148,2097,40,25A,Ju et al.,2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata",10.1673/031.011.0116,Corythucha ciliata,Tingidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM148_2,HUM148A,Longevity,longevity (days),Female,26,-0.315301257,0.134990248,7,26,33,Warm
1878,Good,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,HUM152_2,HUM152A,Longevity,Longevtiy,Both,25,17.53008252,6.863056926,-9,25,16,Cool
1880,Good,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,HUM152_2,HUM152A,Longevity,Longevtiy,Both,25,11.92793925,3.007852356,-5,25,20,Cool
1882,Good,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,HUM152_2,HUM152A,Longevity,Longevtiy,Both,25,0,0,0,25,25,Reference
1884,Good,HUM152,2100,40,25A,Kasap,2010,PREY-STAGE PREFERENCE AND POPULATION INCREASE OF THE PREDACEOUS MITE KAMPIMODROMUS ABERRANS (OUDEMANS) (ACARI: PHYTOSEIIDAE) ON TETRANYCHUS URTICAE KOCH (ACARI: TETRANYCHIDAE) UNDER LABORATORY CONDITIONS,10.1080/01647950903575341,Kampimodromus aberrans,Phytoseiidae,Arachnida,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,HUM152_2,HUM152A,Longevity,Longevtiy,Both,25,-6.624432418,1.136520223,5,25,30,Warm
220,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_2,HUM169B,Longevity,Longevity (DAYS),Female,NA,40.42615108,82.11368456,-5,25,20,Cool
226,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_2,HUM169B,Longevity,Longevity (DAYS),Female,NA,0,0,0,25,25,Reference
232,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_2,HUM169B,Longevity,Longevity (DAYS),Female,NA,71.49045665,255.9442696,5,25,30,Warm
222,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_5,HUM169E,Longevity,Longevity (DAYS),Female,NA,-41.4460701,86.28883633,-5,25,20,Cool
228,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_5,HUM169E,Longevity,Longevity (DAYS),Female,NA,0,0,0,25,25,Reference
234,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_5,HUM169E,Longevity,Longevity (DAYS),Female,NA,-30.4630415,46.79984487,5,25,30,Warm
224,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_8,HUM169H,Longevity,Longevity (DAYS),Female,NA,-5.01501852,1.657520538,-5,25,20,Cool
230,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_8,HUM169H,Longevity,Longevity (DAYS),Female,NA,0,0,0,25,25,Reference
236,Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_8,HUM169H,Longevity,Longevity (DAYS),Female,NA,-6.167854404,2.302121397,5,25,30,Warm
1634,Good,HUM176,2113,41,19A,Lin et al.,2020,Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya,10.11158/saa.25.3.8,Eutetranychus africanus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,< 24 hours,Adult,No,Constant,No,HUM176_2,HUM176B,Longevity,Longevity (DAYS),Female,NA,1.826887673,0.160766601,-10,27,17,Cool
1636,Good,HUM176,2113,41,19A,Lin et al.,2020,Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya,10.11158/saa.25.3.8,Eutetranychus africanus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,< 24 hours,Adult,No,Constant,No,HUM176_2,HUM176B,Longevity,Longevity (DAYS),Female,NA,-0.064233142,0.057481294,-5,27,22,Cool
1638,Good,HUM176,2113,41,19A,Lin et al.,2020,Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya,10.11158/saa.25.3.8,Eutetranychus africanus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,< 24 hours,Adult,No,Constant,No,HUM176_2,HUM176B,Longevity,Longevity (DAYS),Female,NA,0,0,0,27,27,Reference
1640,Good,HUM176,2113,41,19A,Lin et al.,2020,Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya,10.11158/saa.25.3.8,Eutetranychus africanus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,< 24 hours,Adult,No,Constant,No,HUM176_2,HUM176B,Longevity,Longevity (DAYS),Female,NA,-1.271205313,0.076116774,5,27,32,Warm
1160,Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_1,HUM209A,Longevity,Longevity (DAYS),Female,NA,1.321323606,0.121823701,-10,25,15,Cool
1163,Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_1,HUM209A,Longevity,Longevity (DAYS),Female,NA,0.773849912,0.107485546,-5,25,20,Cool
1166,Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_1,HUM209A,Longevity,Longevity (DAYS),Female,NA,0,0,0,25,25,Reference
1169,Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_1,HUM209A,Longevity,Longevity (DAYS),Female,NA,-0.482430022,0.102909234,5,25,30,Warm
1233,Good,HUM220,2140,41,19A,Oliveira et al.,2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements",10.1590/1519-6984.180501,Corythucha gossypii,Tingidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM220_2,HUM220A,Longevity,Longevity (DAYS),Female,NA,-4.554674457,1.652503301,-5,25,20,Cool
1235,Good,HUM220,2140,41,19A,Oliveira et al.,2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements",10.1590/1519-6984.180501,Corythucha gossypii,Tingidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM220_2,HUM220A,Longevity,Longevity (DAYS),Female,NA,2.315754563,0.556779967,-2,25,23,Cool
1237,Good,HUM220,2140,41,19A,Oliveira et al.,2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements",10.1590/1519-6984.180501,Corythucha gossypii,Tingidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM220_2,HUM220A,Longevity,Longevity (DAYS),Female,NA,0,0,0,25,25,Reference
1239,Good,HUM220,2140,41,19A,Oliveira et al.,2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements",10.1590/1519-6984.180501,Corythucha gossypii,Tingidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM220_2,HUM220A,Longevity,Longevity (DAYS),Female,NA,-1.482858879,0.466615324,3,25,28,Warm
318,Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_2,HUM22B,Longevity,Longevity of ovipositing females,Female,NA,1.064336596,0.15221354,-10,25,15,Cool
320,Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_2,HUM22B,Longevity,Longevity of ovipositing females,Female,NA,-0.155175688,0.133734658,-7.5,25,17.5,Cool
322,Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_2,HUM22B,Longevity,Longevity of ovipositing females,Female,NA,0,0.133333333,-5,25,20,Cool
324,Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_2,HUM22B,Longevity,Longevity of ovipositing females,Female,NA,0,0,0,25,25,Reference
326,Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_2,HUM22B,Longevity,Longevity of ovipositing females,Female,NA,-1.881505222,0.192334365,5,25,30,Warm
1241,Good,HUM251,2158,42,19A,Saljoqi et al.,2014,"The Impact of Temperature on Biological and Life Table Parameters of Cryptoleamus montrouzieri Mulsant (Coleoptera: Coccinellidae) Fed on Cotton Mealy Bug, Phenococcus solenopsis Tinsley",NA,Cryptoleamus montrouzieri,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM251_3,HUM251A,Longevity,Longevity (DAYS),Female,NA,0,0,0,24,24,Reference
1243,Good,HUM251,2158,42,19A,Saljoqi et al.,2014,"The Impact of Temperature on Biological and Life Table Parameters of Cryptoleamus montrouzieri Mulsant (Coleoptera: Coccinellidae) Fed on Cotton Mealy Bug, Phenococcus solenopsis Tinsley",NA,Cryptoleamus montrouzieri,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM251_3,HUM251A,Longevity,Longevity (DAYS),Female,NA,-1035.046877,12174.20516,4,24,28,Warm
1245,Good,HUM251,2158,42,19A,Saljoqi et al.,2014,"The Impact of Temperature on Biological and Life Table Parameters of Cryptoleamus montrouzieri Mulsant (Coleoptera: Coccinellidae) Fed on Cotton Mealy Bug, Phenococcus solenopsis Tinsley",NA,Cryptoleamus montrouzieri,Coccinellidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM251_3,HUM251A,Longevity,Longevity (DAYS),Female,NA,-671.3981049,5241.667669,8,24,32,Warm
3781,Good,HUM254,2160,42,25A,Sanchez-Ramos & Castanera,2005,Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae,10.1007/s10493-005-0506-5,Tyrophagus putrescentiae,Acaridae,Arachnida,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),HUM254_2,HUM254A,Longevity,longevity (days),Both,25,18.46251781,1.245944872,-15,25,10,Cool
3782,Good,HUM254,2160,42,25A,Sanchez-Ramos & Castanera,2005,Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae,10.1007/s10493-005-0506-5,Tyrophagus putrescentiae,Acaridae,Arachnida,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),HUM254_3,HUM254A,Longevity,longevity (days),Both,25,8.087951215,0.262196267,-15,25,10,Cool
