species_latin,family,class,phylum,original_name,resolved_name,temporary_name,thermoregulation,mobility,reproductive_mode,fertilisation_mode,agricultural_importance,habitat1,habitat2
Adelphocoris_fasciaticollis,Miridae,Insecta,Arthropoda,Adelphocoris_fasciaticollis,adelphocoris_fasciaticollis,adelphocoris_fasciaticollis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Adelphocoris_lineolatus,Miridae,Insecta,Arthropoda,Adelphocoris_lineolatus,adelphocoris_lineolatus,adelphocoris_lineolatus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Adelphocoris_suturalis,Miridae,Insecta,Arthropoda,Adelphocoris_suturalis,adelphocoris_suturalis,adelphocoris_suturalis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Adoxophyes_orana,Tortricidae,Insecta,Arthropoda,Adoxophyes_orana,adoxophyes_orana,adoxophyes_orana,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Aedes_aegypti,Culicidae,Insecta,Arthropoda,Aedes_aegypti,aedes_aegypti,aedes_aegypti,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Aedes_albopictus,Culicidae,Insecta,Arthropoda,Aedes_albopictus,aedes_albopictus,aedes_albopictus,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Aedes_australis,Culicidae,Insecta,Arthropoda,Aedes_australis,aedes_australis,Aedes_aboriginis,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Aedes_krombeini,Culicidae,Insecta,Arthropoda,Aedes_krombeini,aedes_krombeini,aedes_krombeini,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Aethina_tumida,Nitidulidae,Insecta,Arthropoda,Aethina_tumida,aethina_tumida,aethina_tumida,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Afropinnotheres_monodi,Pinnotheridae,Crustacea,Arthropoda,Afropinnotheres_monodi,afropinnotheres_monodi,afropinnotheres_monodi,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Aganaspis_daci,Figitidae,Insecta,Arthropoda,Aganaspis_daci,aganaspis_daci,aganaspis_daci,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Agasicles_hygrophila,Chrysomelidae,Insecta,Arthropoda,Agasicles_hygrophila,agasicles_hygrophila,agasicles_hygrophila,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Agistemus_buntex,Stigmaeidae,Arachnida,Arthropoda,Agistemus_buntex,agistemus_buntex,agistemus_bakeri,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Agkistrodon_contortrix,Viperidae,Reptilia,Chordata,Agkistrodon_contortrix,agkistrodon_contortrix,agkistrodon_contortrix,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Agonoscena_pistaciae,Aphalaridae,Insecta,Arthropoda,Agonoscena_pistaciae,agonoscena_pistaciae,agonoscena_pistaciae,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Agrilus_biguttatus,Buprestidae,Insecta,Arthropoda,Agrilus_biguttatus,agrilus_biguttatus,agrilus_biguttatus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Agrilus_planipennis,Buprestidae,Insecta,Arthropoda,Agrilus_planipennis,agrilus_planipennis,agrilus_planipennis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Agriphila_aeneociliella,Crambidae,Insecta,Arthropoda,Agriphila_aeneociliella,agriphila_aeneociliella,agriphila_aeneociliella,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Aiptasia_diaphana,Aiptasiidae,Cnideria,Cnideria,Aiptasia_diaphana,aiptasia_diaphana,aiptasia_diaphana,Ectotherm,Sessile,Parthenogenetic,NA,No,Aquatic,Marine
Aleurodothrips_fasciapennis,Phlaeothripidae,Insecta,Arthropoda,Aleurodothrips_fasciapennis,aleurodothrips_fasciapennis,aleurodothrips_fasciapennis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aleuroglyphus_ovatus,Acaridae,Arachnida,Arthropoda,Aleuroglyphus_ovatus,aleuroglyphus_ovatus,aleuroglyphus_ovatus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Aleurotuberculatus_takahashi,Aleyrodidae,Insecta,Arthropoda,Aleurotuberculatus_takahashi,aleurotuberculatus_takahashi,aleurotuberculatus_russellae,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Alligator_sinensis,Alligatoridae,Reptilia,Chordata,Alligator_sinensis,alligator_sinensis,alligator_sinensis,Ectotherm,Mobile,Sexual,Internal,No,Both,Freshwater
Ambigolimax_valentianus,Limacidae,Mollusca,Mollusca,Ambigolimax_valentianus,ambigolimax_valentianus,ambigolimax_valentianus,Ectotherm,Mobile,Hermaphrodite,Internal,Pest,Terrestrial,Terrestrial
Amblyseius_andersoni,Phytoseiidae,Arachnida,Arthropoda,Amblyseius_andersoni,amblyseius_andersoni,amblyseius_andersoni,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Amblyseius_asetus,Phytoseiidae,Arachnida,Arthropoda,Amblyseius_asetus,amblyseius_asetus,amblyseius_asetus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Amblyseius_eharai,Phytoseiidae,Arachnida,Arthropoda,Amblyseius_eharai,amblyseius_eharai,amblyseius_eharai,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Amblyseius_largoensis,Phytoseiidae,Arachnida,Arthropoda,Amblyseius_largoensis,amblyseius_largoensis,amblyseius_largoensis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Amblyseius_swirskii,Phytoseiidae,Arachnida,Arthropoda,Amblyseius_swirskii,amblyseius_swirskii,amblyseius_swirskii,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Amblyseius_womersleyi,Phytoseiidae,Arachnida,Arthropoda,Amblyseius_womersleyi,amblyseius_womersleyi,Amblyseius_abbasovae,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Amitus_fuscipennis,Platygastridae,Insecta,Arthropoda,Amitus_fuscipennis,amitus_fuscipennis,Amitus_aleurodinis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Ammodytes_marinus,Ammodytidae,Actinopterygii,Chordata,Ammodytes_marinus,ammodytes_marinus,ammodytes_marinus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Amphiprion_melanopus,Pomacentridae,Actinopterygii,Chordata,Amphiprion_melanopus,amphiprion_melanopus,amphiprion_melanopus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Anagyrus_ananatis,Encyrtidae,Insecta,Arthropoda,Anagyrus_ananatis,anagyrus_ananatis,anagyrus_ananatis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anagyrus_sinope,Encyrtidae,Insecta,Arthropoda,Anagyrus_sinope,anagyrus_sinope,anagyrus_sinope,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anaphes_listronoti,Mymaridae,Insecta,Arthropoda,Anaphes_listronoti,anaphes_listronoti,anaphes_listronoti,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anaphothrips_obscurus,Thripidae,Insecta,Arthropoda,Anaphothrips_obscurus,anaphothrips_obscurus,anaphothrips_obscurus,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Anarhichas_lupus,Anarhichadidae,Actinopterygii,Chordata,Anarhichas_lupus,anarhichas_lupus,anarhichas_lupus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Anastatus_disparis,Eupelmidae,Insecta,Arthropoda,Anastatus_disparis,anastatus_disparis,Anastatus_floridanus,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anastatus_orientalis,Eupelmidae,Insecta,Arthropoda,Anastatus_orientalis,anastatus_orientalis,Neanastatus_orientalis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anastrepha_ludens,Tephritidae,Insecta,Arthropoda,Anastrepha_ludens,anastrepha_ludens,anastrepha_ludens,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anastrepha_obliqua,Tephritidae,Insecta,Arthropoda,Anastrepha_obliqua,anastrepha_obliqua,anastrepha_obliqua,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anguilla_anguilla,Anguillidae,Actinopterygii,Chordata,Anguilla_anguilla,anguilla_anguilla,anguilla_anguilla,Ectotherm,Mobile,Sexual,External,Food,Aquatic,Both
Anguilla_japonica,Anguillidae,Actinopterygii,Chordata,Anguilla_japonica,anguilla_japonica,anguilla_japonica,Ectotherm,Mobile,Sexual,External,Food,Aquatic,Both
Anisopteromalus_calandrae,Pteromalidae,Insecta,Arthropoda,Anisopteromalus_calandrae,anisopteromalus_calandrae,anisopteromalus_calandrae,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anolis_carolinensis,Dactyloidae,Reptilia,Chordata,Anolis_carolinensis,anolis_carolinensis,anolis_carolinensis,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Anopheles_dirus,Culicidae,Insecta,Arthropoda,Anopheles_dirus,anopheles_dirus,Anopheles_dirus_A,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Anopheles_sawadwongporni,Culicidae,Insecta,Arthropoda,Anopheles_sawadwongporni,anopheles_sawadwongporni,anopheles_sawadwongporni,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Anoplophora_glabripennis,Cerambycidae,Insecta,Arthropoda,Anoplophora_glabripennis,anoplophora_glabripennis,anoplophora_glabripennis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anser_anser,Anatidae,Aves,Chordata,Anser_anser,anser_anser,Anser_anser,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Antestiopsis_thunbergii,Pentatomidae,Insecta,Arthropoda,Antestiopsis_thunbergii,antestiopsis_thunbergii,antestiopsis_thunbergii,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anthocoris_minki,Anthocoridae,Insecta,Arthropoda,Anthocoris_minki,anthocoris_minki,anthocoris_minki,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Anthonomus_eugenii,Curculionidae,Insecta,Arthropoda,Anthonomus_eugenii,anthonomus_eugenii,anthonomus_eugenii,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anthonomus_grandis,Curculionidae,Insecta,Arthropoda,Anthonomus_grandis,anthonomus_grandis,anthonomus_grandis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anthores_leuconotus,Cerambycidae,Insecta,Arthropoda,Anthores_leuconotus,anthores_leuconotus,anthores_leuconotus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Anthrenus_sarnicus,Dermestidae,Insecta,Arthropoda,Anthrenus_sarnicus,anthrenus_sarnicus,anthrenus_sarnicus,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Anuraeopsis_fissa,Brachionidae,Rotifera,Rotifera,Anuraeopsis_fissa,anuraeopsis_fissa,anuraeopsis_fissa,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Aonidiella_aurantii,Diaspididae,Insecta,Arthropoda,Aonidiella_aurantii,aonidiella_aurantii,Aonidiella_abietina,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Apanteles_hemara,Braconidae,Insecta,Arthropoda,Apanteles_hemara,apanteles_hemara,apanteles_hemara,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphalara_itadori,Aphalaridae,Insecta,Arthropoda,Aphalara_itadori,aphalara_itadori,aphalara_itadori,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Aphantopus_hyperantus,Nymphalidae,Insecta,Arthropoda,Aphantopus_hyperantus,aphantopus_hyperantus,aphantopus_hyperantus,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Aphelinus_asychis,Aphelinidae,Insecta,Arthropoda,Aphelinus_asychis,aphelinus_asychis,aphelinus_asychis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphelinus_perpallidus,Aphelinidae,Insecta,Arthropoda,Aphelinus_perpallidus,aphelinus_perpallidus,aphelinus_perpallidus,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphelinus_varipes,Aphelinidae,Insecta,Arthropoda,Aphelinus_varipes,aphelinus_varipes,aphelinus_varipes,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphidius_colemani,Braconidae,Insecta,Arthropoda,Aphidius_colemani,aphidius_colemani,aphidius_colemani,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphidius_ervi,Braconidae,Insecta,Arthropoda,Aphidius_ervi,aphidius_ervi,aphidius_ervi,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphidius_matricariae,Braconidae,Insecta,Arthropoda,Aphidius_matricariae,aphidius_matricariae,aphidius_matricariae,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphidius_rhopalosiphi,Braconidae,Insecta,Arthropoda,Aphidius_rhopalosiphi,aphidius_rhopalosiphi,aphidius_rhopalosiphi,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Aphis_craccivora,Aphididae,Insecta,Arthropoda,Aphis_craccivora,aphis_craccivora,aphis_craccivora,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Aphis_fabae,Braconidae,Insecta,Arthropoda,Aphis_fabae,aphis_fabae,aphis_fabae,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Aphis_glycines,Aphididae,Insecta,Arthropoda,Aphis_glycines,aphis_glycines,aphis_glycines,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Aphis_gossypii,Aphididae,Insecta,Arthropoda,Aphis_gossypii,aphis_gossypii,aphis_gossypii,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Aphis_illinoisensis,Aphididae,Insecta,Arthropoda,Aphis_illinoisensis,aphis_illinoisensis,Aphis_affinis ,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Aphis_nasturtii,Aphididae,Insecta,Arthropoda,Aphis_nasturtii,aphis_nasturtii,aphis_nasturtii,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Aphis_rumicis,Aphididae,Insecta,Arthropoda,Aphis_rumicis,aphis_rumicis,aphis_rumicis,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Apis_mellifera,Apidae,Insecta,Arthropoda,Apis_mellifera,apis_mellifera,Apis_mellifera,Ectotherm,Mobile,Sexual,Internal,Pollinator,Terrestrial,Terrestrial
Aplysina_solangeae,Aplysinidae,Porifera,Porifera,Aplysina_solangeae,aplysina_solangeae,aplysina_solangeae,Ectotherm,Sessile,Sexual,External,No,Aquatic,Marine
Apolygus_lucorum,Miridae,Insecta,Arthropoda,Apolygus_lucorum,apolygus_lucorum,apolygus_lucorum,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Apostichopus_japonicus,Stichopodidae,Echinodermata,Echinodermata,Apostichopus_japonicus,apostichopus_japonicus,apostichopus_japonicus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Aproaerema_modicella,Gelechiidae,Insecta,Arthropoda,Aproaerema_modicella,aproaerema_modicella,aproaerema_modicella,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Aprostocetus_hagenowii,Eulophidae,Insecta,Arthropoda,Aprostocetus_hagenowii,aprostocetus_hagenowii,aprostocetus_hagenowii,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Apus_pallidus,Apodidae,Aves,Chordata,Apus_pallidus,apus_pallidus,apus_pallidus,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Aquarius_remigis,Gerridae,Insecta,Arthropoda,Aquarius_remigis,aquarius_remigis,aquarius_remigis,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Arbacia_dufresnii,Arbaciidae,Echinodermata,Echinodermata,Arbacia_dufresnii,arbacia_dufresnii,arbacia_dufresnii,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Arbacia_lixula,Arbaciidae,Echinodermata,Echinodermata,Arbacia_lixula,arbacia_lixula,arbacia_lixula,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Arbacia_punctulata,Arbaciidae,Echinodermata,Echinodermata,Arbacia_punctulata,arbacia_punctulata,arbacia_punctulata,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Arbacia_stellata,Arbaciidae,Echinodermata,Echinodermata,Arbacia_stellata,arbacia_stellata,arbacia_stellata,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Arctodiaptomus_salinus,Diaptomidae,Crustacea,Arthropoda,Arctodiaptomus_salinus,arctodiaptomus_salinus,arctodiaptomus_salinus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Salt
Argopecten_purpuratus,Pectinidae,Mollusca,Mollusca,Argopecten_purpuratus,argopecten_purpuratus,argopecten_purpuratus,Ectotherm,Mobile,Hermaphrodite,External,No,Aquatic,Marine
Argopecten_ventricosus,Pectinidae,Mollusca,Mollusca,Argopecten_ventricosus,argopecten_ventricosus,argopecten_ventricosus,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Argulus_coregoni,Argulidae,Crustacea,Arthropoda,Argulus_coregoni,argulus_coregoni,argulus_coregoni,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Arianta_arbustorum,Helicidae,Mollusca,Mollusca,Arianta_arbustorum,arianta_arbustorum,arianta_arbustorum,Ectotherm,Mobile,Hermaphrodite,Internal,No,Terrestrial,Terrestrial
Arimania_komaroffi,Pyralidae,Insecta,Arthropoda,Arimania_komaroffi,arimania_komaroffi,arimania_komaroffi,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Artemia_franciscana,Artemiidae,Crustacea,Arthropoda,Artemia_franciscana,artemia_franciscana,artemia_franciscana,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Artemia_persimilis,Artemiidae,Crustacea,Arthropoda,Artemia_persimilis,artemia_persimilis,artemia_persimilis,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Artemisiospiza_belli,Passerellidae,Aves,Chordata,Artemisiospiza_belli,amphispiza_bell,Artemisiospiza_belli,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Arytinnis_hakani,Psyllidae,Insecta,Arthropoda,Arytinnis_hakani,arytinnis_hakani,arytinnis_hakani,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Ascotis_selenaria,Geometridae,Insecta,Arthropoda,Ascotis_selenaria,ascotis_selenaria,ascotis_selenaria,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Asplanchna_brightwellii,Asplanchnidae,Rotifera,Rotifera,Asplanchna_brightwellii,asplanchna_brightwellii,asplanchna_brightwellii,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Astacus_astacus,Astacidae,Crustacea,Arthropoda,Astacus_astacus,astacus_astacus,astacus_astacus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Astyanax_altiparanae,Characidae,Actinopterygii,Chordata,Astyanax_altiparanae,astyanax_altiparanae,astyanax_altiparanae,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Atherigona_soccata,Muscidae,Insecta,Arthropoda,Atherigona_soccata,atherigona_soccata,atherigona_soccata,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Athetis_dissimilis,Noctuidae,Insecta,Arthropoda,Athetis_dissimilis,athetis_dissimilis,athetis_dissimilis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Athetis_lepigone,Noctuidae,Insecta,Arthropoda,Athetis_lepigone,athetis_lepigone,athetis_lepigone,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Atractomorpha_sinensis,Pyrgomorphidae,Insecta,Arthropoda,Atractomorpha_sinensis,atractomorpha_sinensis,atractomorpha_sinensis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Attagenus_fasciatus,Dermestidae,Insecta,Arthropoda,Attagenus_fasciatus,attagenus_fasciatus,Attagenus_abbreviatus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Aulacaspis_yasumatsui,Diaspididae,Insecta,Arthropoda,Aulacaspis_yasumatsui,aulacaspis_yasumatsui,aulacaspis_yasumatsui,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Aulacorthum_solani,Aphididae,Insecta,Arthropoda,Aulacorthum_solani,aulacorthum_solani,aulacorthum_solani,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
