"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Effect.size.code","Experiment.code","Trait.category","Trait","Sex","Rearing.temperature","es","v","diff","reftemp","treattemp","gtest","warm.cool"
"3342","Good","TEMP2319",1999,38,"17A","Zhu, G.et al. (a)",2017,"Effects of short-term heat shock and physiological responses to heat stress in two Bradysia adults, Bradysia odoriphaga and Bradysia difformis","10.1038/s41598-017-13560-4","Bradysia difformis","Sciaridae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Less than 24 hrs","Adult","No","Constant","No","TEMP2319_8","TEMP2319A","Longevity","Longevity days post stress","Female",25,-7.56014041953993,0.402664771415256,13,25,38,NA,"Warm"
"3457","Good","TEMP552",49,NA,"1A","Evans et al, 2018",2018,"Impact of short- and long-term heat stress on reproductive potential of Drosophila suzukii Matsumura (Diptera: Drosophilidae","10.1016/j.jtherbio.2018.09.011","Drosophila suzukii","Drosophilidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP552_1","TEMP552_A","Reproduction","total eggs","Female",24,-6.79181857425104,0.676609994319267,9,24,33,NA,"Warm"
"3560","Good","TEMP705",646,11,"C","Guo, J.-Y.et al.",2012,"Performance of Agasicles hygrophila (Coleoptera: Chrysomelidae), a biological control agent of invasive alligator weed, at low non-freezing temperatures","10.1007/s10530-010-9932-3","Agasicles hygrophila","Chrysomelidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","No","TEMP705_1","TEMP705_A","Reproduction","eggs per female","Female",25,-8.64934787461711,1.02065445849083,-15,25,10,NA,"Cool"
"3944","Good","TEMP1540",1339,25,"12A","Pappas, M. L.et al.",2008,"Effect of temperature on survival, development and reproduction of the predatory lacewing Dichochrysa prasina (Neuroptera : Chrysopidae) reared on Ephestia kuehniella eggs (Lepidoptera : Pyralidae","10.1016/j.biocontrol.2008.02.005","Dichochrysa prasina","Chrysopidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Wild-caught","Experimental","Terrestrial","Greece","Europe",NA,"More than 5 days","Mix","No","Constant","No","TEMP1540_1","TEMP1540A","Reproduction","Fecundity (Number of eggs/female)","Female",25,-5.32830844793539,0.536811053207266,5,25,30,NA,"Warm"
"4138","Good","TEMP2063",1788,34,"22B","Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs","10.1653/024.103.0213","Aphis glycines","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP2063_1","TEMP2063A","Reproduction","Live young","Female",25,-11.6253453725195,1.23436971388385,10,23,33,NA,"Warm"
"4192","Good","TEMP2159",1869,36,"17B","Waqas, M. S.et al. (a)",2020,"Effect of Constant and Fluctuating Temperature on the Development, Reproduction, Survival, and Sex Ratio of Phenacoccus solenopsis (Hemiptera: Pseudococcidae)","10.1093/ee/nvaa023","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Both","No","TEMP2159_1","TEMP2159A","Reproduction","Offspring per female","Female",27,-11.341150034505,1.13851403420961,8,27,35,NA,"Warm"
"4225","Good","TEMP2288",1973,38,"25C","Zhang, L.-H.et al. Â©",2020,"Effects of cold storage on the fitness of Tamarixia radiata, a dominant parasitoid of Asian citrus psyllid Diaphorina citri","10.1016/j.cropro.2019.104988","Tamarixia radiata","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Mix","Pupae","Yes","Constant","No","TEMP2288_1","TEMP2288A","Reproduction","eggs per female","Female",26,-6.35870869717068,0.190875030340411,-16,26,10,NA,"Cool"
"4226","Good","TEMP2288",1973,38,"25C","Zhang, L.-H.et al. Â©",2020,"Effects of cold storage on the fitness of Tamarixia radiata, a dominant parasitoid of Asian citrus psyllid Diaphorina citri","10.1016/j.cropro.2019.104988","Tamarixia radiata","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Mix","Pupae","Yes","Constant","No","TEMP2288_2","TEMP2288B","Longevity","female longevity","Female",26,-14.4845926736578,2.72254281152227,-16,26,10,NA,"Cool"
"4283","Good","TEMP293",325,5,"C","Cakmak, I.et al.",2011,"Life history of Sancassania polyphyllae (Acari: Acaridae) feeding on dissected tissues of its phoretic host, Polyphylla fullo (Coleoptera: Scarabaeidae): temperature effects","10.1007/s10493-010-9386-4","Sancassania polyphyllae","Acaridae","Arachnida","Arthropoda","Both sexes","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP293_2","TEMP293_A","Reproduction","Daily fecundity","Female",NA,-3.71940548572401,0.228020012741437,10,25,35,NA,"Warm"
"4547","Good","TEMP961",843,15,"7B","Karlsson, B.; Wiklund, C. m. j.",2005,"Butterfly life history and temperature adaptations; dry open habitats select for increased fecundity and longevity","10.1111/j.1365-2656.2004.00902.x","Pararge aegeria","Nymphalidae","Insecta","Arthropoda","Female","Internal","No","Lab","Wild-caught","Experimental","Terrestrial","Sweden","Europe",NA,"More than 5 days","Adult","No","Constant","No","TEMP961_11","TEMP961A","Reproduction","Fecundity (total eggs)","Female",NA,-0.929981935131101,0.519433796173986,15,25,40,NA,"Warm"
"4672","Good","TEMP1053",926,17,"C","Kuo, M. H.et al.",2006,"Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera : Pemphigidae) on three host plants","10.1093/jee/99.4.1209","Tetraneura nigriabdominalis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1053_1","TEMP1053_A","Reproduction","total fecundity","Female",25,-1.37506657859278,0.262288760026026,10,25,35,NA,"Warm"
"4782","Good","TEMP1250",1103,21,"21A","Marchioro, C. A.; Foerster, L. A. m. a.",2012,"Modelling reproduction of Plutella xylostella L. (Lepidoiptera: Plutellidae): climate change may modify pest incidence levels","10.1017/S0007485312000119","Plutella xylostella","Plutellidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1250_3","TEMP1250A","Reproduction","Eggs per female","Female",20,-4.84532722178494,0.393464948577127,12.5,20,32.5,NA,"Warm"
"5256","Good","TEMP443",450,7,"4B","Cui, X. H.et al.",2008,"Effects of heat shock on survival and reproduction of two whitefly species, Trialeurodes vaporariorum and Bemisia tabaci biotype B","10.1673/031.008.2401","Bemisia tabaci","Aleyrodidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP443_2","TEMP443_B","Survival","survival","Female",26,-2.46808701272933,0.070457267512016,19,26,45,NA,"Warm"
"5257","Good","TEMP443",450,7,"4B","Cui, X. H.et al.",2008,"Effects of heat shock on survival and reproduction of two whitefly species, Trialeurodes vaporariorum and Bemisia tabaci biotype B","10.1673/031.008.2401","Trialeurodes vaporariorum","Aleyrodidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP443_3","TEMP443_B","Reproduction","number of eggs","Female",26,-6.46042997716175,0.248685777449051,19,26,45,NA,"Warm"
"5375","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_1","TEMP678_A","Reproduction","eggs per females","Female",23,-0.841401032728833,0.0489330872104286,9.6,24.9,34.5,NA,"Warm"
"5376","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_2","TEMP678_A","Longevity","longevity (days)","Female",23,-0.785867773463801,0.0484310453187164,9.6,24.9,34.5,NA,"Warm"
"5377","Good","TEMP678",620,11,"C","Gould, J.et al.",2005,"Effect of temperature on development and population parameters of Copitarsia decolora (Lepidoptera : Noctuidae","10.1603/0046-225X-34.3.548","Copitarsia decolora","Noctuidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","Yes","Constant","No","TEMP678_3","TEMP678_A","Longevity","longevity (days)","Male",23,-0.929905402253947,0.0498040225396726,9.6,24.9,34.5,NA,"Warm"
"5452","Good","TEMP936",819,15,"7A","Joshi, D. S.",1996,"Effect of fluctuating and constant temperatures on development, adult longevity and fecundity in the mosquito Aedes krombeini","10.1016/0306-4565(95)00035-6","Aedes krombeini","Culicidae","Insecta","Arthropoda","Both sexes","Internal","Other","Lab","Lab-reared","Experimental","Both","India","Asia",NA,"Mix","Mix","No","Both","No","TEMP936_3","TEMP936A","Reproduction","Fecundity","Female",25,-171.736531591319,142.527825408349,7.5,26,33.5,NA,"Warm"
"5589","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054_2","TEMP1054B","Reproduction","Fecundity (offspring per mother)","Female",NA,-1.67064130507555,0.541196761091704,10,25,35,NA,"Warm"
"5825","Good","TEMP1713",1490,28,"13B","REED, T.; SEMTNER, P. m. j.",1991,"INFLUENCE OF TEMPERATURE ON POPULATION DEVELOPMENT OF 2 COLOR MORPHS OF THE TOBACCO APHID (HOMOPTERA, APHIDIDAE) ON FLUE-CURED TOBACCO","10.18474/0749-8004-26.1.33","Myzus persicae","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Semi-natural","Wild-caught","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Juvenile","Yes","Constant","No","TEMP1713_3","TEMP1713A","Reproduction","number of eggs","Female",25,-2.02664952787119,0.107504860925408,7,25,32,NA,"Warm"
"5826","Good","TEMP1713",1490,28,"13B","REED, T.; SEMTNER, P. m. j.",1991,"INFLUENCE OF TEMPERATURE ON POPULATION DEVELOPMENT OF 2 COLOR MORPHS OF THE TOBACCO APHID (HOMOPTERA, APHIDIDAE) ON FLUE-CURED TOBACCO","10.18474/0749-8004-26.1.33","Myzus persicae","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Semi-natural","Wild-caught","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Juvenile","Yes","Constant","No","TEMP1713_4","TEMP1713B","Reproduction","number of eggs","Female",25,-2.4576671092776,0.139260440926157,7,25,32,NA,"Warm"
"6365","Good","TEMP936",819,15,"7A","Joshi, D. S.",1996,"Effect of fluctuating and constant temperatures on development, adult longevity and fecundity in the mosquito Aedes krombeini","10.1016/0306-4565(95)00035-6","Aedes krombeini","Culicidae","Insecta","Arthropoda","Female","Internal","Other","Lab","Lab-reared","Experimental","Both","India","Asia",NA,"Mix","Mix","No","Both","No","TEMP936_2","TEMP936A","Longevity","days until 50% were dead","Female",25,-5.16085620039672,0.0408153928209967,9,26,35,NA,"Warm"
"6366","Good","TEMP936",819,15,"7A","Joshi, D. S.",1996,"Effect of fluctuating and constant temperatures on development, adult longevity and fecundity in the mosquito Aedes krombeini","10.1016/0306-4565(95)00035-6","Aedes krombeini","Culicidae","Insecta","Arthropoda","Both sexes","Internal","Other","Lab","Lab-reared","Experimental","Both","India","Asia",NA,"Mix","Mix","No","Both","No","TEMP936_3","TEMP936A","Reproduction","Fecundity","Female",25,-171.736531591319,142.527825408349,9,26,35,NA,"Warm"
"6525","Good","TEMP1112",985,18,"9A","Lee, Y. S.et al.",2018,"Temperature-dependent development and oviposition models of Illeis koebelei (Coleoptera: Coccinellidae)","10.1016/j.aspen.2018.07.011","Illeis koebelei","Coccinellidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1112_1","TEMP1112A","Reproduction","number of eggs","Female",26,-0.922284007686445,0.110632597385427,8.5,24.9,33.4,NA,"Warm"
"7439","Good","TEMP1112",985,18,"9A","Lee, Y. S.et al.",2018,"Temperature-dependent development and oviposition models of Illeis koebelei (Coleoptera: Coccinellidae)","10.1016/j.aspen.2018.07.011","Illeis koebelei","Coccinellidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1112_1","TEMP1112A","Reproduction","number of eggs","Female",26,-0.922284007686445,0.110632597385427,10.4,24.9,35.3,NA,"Warm"
