--,Decision,Exclusion reason,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Temperature,Humidity,pH,Salinity,Radiation,Number of stressors,Interaction effects?,Other stressors,Gamete traits,Gonad traits,Reproductive output,Mating behaviour,Survival,Comments,Number of projects,#SURVIVAL,#AQUATIC,#WILD,#SPERM,#COLD,#INTERACTION,...52
Claudia,Include,includes one fluctuating treatment,TEMP958,840,15,7B,"Karacaoglu, M.; Satar, S.",2017,"Bioecological characteristics of Planococcus citri Risso, 1813 (Hemiptera: Pseudococcidae) under constant and alternating temperatures",10.16970/ted.88994,Planococcus citri,Pseudococcidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Mix,Experimental,Terrestrial,Turkey,Europe,NA,More than 5 days,Mix,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,population growth rate provided,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,age-specific fecundity,HUM127,2082,40,18A,Hernandez-Abarca et al.,2005,"Life tables and thermal constants of Pediculaster mesembrinae (Acari : Siteroptidae) fed on the fungus, Trichoderma harzianum rifai",10.1080/01647950508683668,Pediculaster mesembrinae,Siteroptidae,Arachnida,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,Data is in figures that I can't extract,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,HUM132,2086,40,18A,Husain et al.,2017,Biological Traits of Cadra cautella (Lepidoptera: Pyralidae) Reared on Khodari Date Fruits Under Different Temperature Regimes,10.1093/jee/tox162,Cadra cautella,Pyralidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Amber Chatten,Exclude,NA,HUM168,2108,41,19B,Kumar et al.,2013,EFFECTS OF TEMPERATURE AND RELATIVE HUMIDITY ON THE LIFE TABLE OF PHENACOCCUS SOLENOPSIS TINSLEY (HEMIPTERA: PSEUDOCOCCIDAE) ON COTTON,10.1653/024.096.0103,Phenacoccus solenopsis,Pseudococcidae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,Fecundity,NA,No,NA,1,Yes,No,No,No,No,No,NA
Emily Churchill,Exclude,NA,HUM309,2189,42,22B,Vieira et al.,2020,Effect of temperature on the development time and life-time fecundity of Trichopria anastrephae parasitizing Drosophila suzukii,10.1111/jen.12799,Trichopria anastrephae,Diapriidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of offspring,NA,No,Includes survival curves,1,Yes,No,No,No,No,No,NA
Marco Graziano,Exclude,NA,HUM312,2191,42,20A,Watson et al.,1998,"Life history and feeding biology of the predatory thrips, Aleurodothrips fasciapennis (Thysanoptera : Phlaeothripidae",10.1017/S0007485300025979,Aleurodothrips fasciapennis,Phlaeothripidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,Fecundity,NA,No,"this work also gives data on survival percentage for the same females used. However, just the means are present and is not clear how the stats have been extrapolated.",1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,HUM64,2047,39,18A,"Coombs, 1979",1979,"EFFECT OF TEMPERATURE AND HUMIDITY UPON THE DEVELOPMENT AND FECUNDITY OF DERMESTES-HAEMORRHOIDALIS KUSTER AND DERMESTES-PERUVIANUS LAPORTE-DE-CASNAU (COLEOPTERA, DERMESTIDAE",10.1016/0022-474X(79)90011-0,"Dermestes haemorrhoidalis, Dermestes peruvianus",Dermestidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,"fertility (hatchability), oviposition, fecundity",NA,No,NA,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,HUM67,2049,39,18A,"Costa et al., 2010",2010,"Impact of small variations in temperature and humidity on the reproductive activity and survival of Aedes aegypti (Diptera, Culicidae)",10.1590/S0085-56262010000300021,Aedes aegypti,Culicidae,Insecta,Arthropoda,Females only,Internal,Other,Lab,Lab-reared,Experimental,Both,NA,NA,NA,More than 5 days,Adult,No,Fluctuating,No,Yes,Yes,No,No,No,2,Yes,No,NA,NA,"Fecundity, Fertility",NA,No,NA,2,Yes,No,No,No,No,Yes,NA
Ben Cole,Exclude,NA,HUM72,2053,39,18A,"Damborsky et al., 2004",2004,"Life cycle and reproductive patterns of Triatoma rubrovaria (Blanchard, 1843) (Hemiptera : Reduviidae) under constant and fluctuating conditions of temperature and humidity",10.1590/S0037-86822005000500014,Triatoma rubrovaria,Reduviidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Both,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Fluctuating,No,Yes,Yes,No,No,No,2,No,No,NA,NA,"Fertility, Fecundity",NA,No,Fluctuating temperatures vs stable temp,1,Yes,No,No,No,No,No,NA
Amber Chatten,Exclude,NA,HUM95,2066,40,19B,Emana,2007,"Comparative studies of the influence of relative humidity and temperature on the longevity and fecundity of the parasitoid, Cotesia flavipes",10.1673/031.007.1901,Cotesia flavipes,Braconidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,Yes,No,Egg number,NA,Fecundity,NA,No,NA,2,Yes,No,No,No,No,Yes,NA
Marco Graziano,Exclude,NA,OSM157,2235,43,20C,Kelly et al.,2016,Adaptation to climate change: trade-offs among responses to multiple stressors in an intertidal crustacean,10.1111/eva.12394,Tigriopus californicus,Harpacticidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (multiple generations),Yes,No,No,Yes,No,2,Yes,No,NA,NA,Fecundity,NA,No,Experimental evolution,3,Yes,Yes,No,No,No,Yes,NA
Melissah Rowe,Exclude,NA,TEMP1035,909,17,8A,"Krebs, R. A.; Loeschcke, V.",1994,EFFECTS OF EXPOSURE TO SHORT-TERM HEAT-STRESS ON FITNESS COMPONENTS IN DROSOPHILA-MELANOGASTER,10.1046/j.1420-9101.1994.7010039.x,Drosophila melanogaster,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,NA,"Female fecundity, male fertility (offspring number)",NA,No,"only control and heat stress included in data, other exposure temperature and durations examined, but no clear data",1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,no survival,TEMP1104,977,18,C,"Ledet, J.et al.",2018,Temperature effects on a marine herbivore depend strongly on diet across multiple generations,10.1007/s00442-018-4084-8,Sunamphitoe parmerong,Ampithoidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Australia,Australasia,Pacific Ocean,More than 5 days,Mix,No,Constant,Yes (multiple generation),Yes,No,No,No,No,1,NA,Diet,NA,NA,Fecundity,NA,No,NA,2,Yes,Yes,No,No,No,No,NA
Fay Frost,Exclude,no adult survival,TEMP1105,978,18,C,"Lee, H.et al.",2003,"Effect of temperature on development, growth and reproduction in the marine copepod Pseudocalanus newmani at satiating food condition",10.1093/plankt/25.3.261,Pseudocalanus newmani,Clausocalanidae,Crustacea,Arthropoda,Females only,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Japan,Asia,North Pacific Ocean,More than 5 days,Mix,Yes,Constant,Yes (> 4 days),Yes,No,No,No,No,1,NA,No,NA,NA,"clutch size, egg production rate",NA,No,NA,3,Yes,Yes,No,No,Yes,No,NA
Marco Graziano,Exclude,Sample sizes not clear,TEMP1142,1011,19,20,"Li, Y. T.et al.",2015,Effects of temperature on development and reproduction of Neoseiulus bicaudus (Phytoseiidae) feeding on Tetranychus turkestani (Tetranychidae),10.11158/saa.20.5.4,Neoseiulus bicaudus,Phytoseiidae,Arachnida,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of eggs laid,NA,No,NA,1,Yes,No,No,No,No,No,NA
Marco Graziano,Exclude,NA,TEMP1144,1013,19,20,"Li, Y.-H.et al.",2018,"Temperature and host age effects on the life history of Tamarixia radiata, a dominant parasitoid of citrus psyllid Diaphorina citri",10.1016/j.cropro.2018.08.004,Tamarixia radiata,Eulophidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of eggs laid,NA,No,NA,NA,No,No,No,No,No,No,NA
Fay Frost,Exclude,no adult survival,TEMP1159,1027,19,C,"Lin, Q.et al.",2006,"The effect of temperature on gonad, embryonic development and survival rate of juvenile seahorses, Hippocampus kuda Bleeker",10.1016/j.aquaculture.2005.11.005,Hippocampus kuda,Syngnathidae,Actinopterygii,Chordata,Both sexes,External,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,"Gonad development, GSI",Egg number,NA,No,NA,2,Yes,Yes,No,No,No,No,NA
Jacintha Ellers,Exclude,NA,TEMP1234,1090,20,9B,"Maisonhaute, C.et al.",1999,Induction of thermotolerance in Trichogramma brassicae (Hymenoptera : Trichogrammatidae,10.1093/ee/28.1.116,Trichogramma brassicae,Trichogrammatidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Pupae,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,"different treatment durations, exposure to heat shock on 1 day or 2 consecutive days. Arrhenotokous species",1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Exclude,NA,TEMP1299,1143,21,9B,"McCornack, B. P.et al.",2004,Demography of soybean aphid (Homoptera : Aphididae) at summer temperatures,10.1093/jee/97.3.854,Aphis glycines,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Offspring number,NA,No,"pop growth rate (R0, r)",1,Yes,No,No,No,No,No,NA
Pedro,Exclude,NA,TEMP1410,1227,23,11A,"Muttis, E.et al.",2018,Factors Related to Aedes aegypti (Diptera: Culicidae) Populations and Temperature Determine Differences on Life-History Traits With Regional Implications in Disease Transmission,10.1093/jme/tjy057,Aedes aegypti,Culicidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Wild-caught,Experimental,Both,Argentina,South America,NA,More than 5 days,Juvenile,No,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,no adult survival; also population growth data,1,Yes,No,No,No,No,No,NA
Amber Chatten,Exclude,No variation on longevity only fecundity extracted,TEMP143,205,3,19,"Ball, 1980",1980,"DEVELOPMENT, FECUNDITY, AND PREY CONSUMPTION OF 4 SPECIES OF PREDACIOUS MITES (PHYTOSEIIDAE) AT 2 CONSTANT TEMPERATURES",10.1093/ee/9.3.298,"Galendromus longipilis, Neoseiulus fallacis, Phyfoseiulus macropilis, Proprioseiopsis femperellus, Tetranychus urticae",Mix,Arachnida,Arthropoda,Both sexes,Internal,Mix,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,No,NA,1,Yes,No,No,No,No,No,NA
Pedro,Exclude,NA,TEMP1478,1285,24,11C,"Ogello, E. O.et al.",2016,Lifetable demography and population growth of the rotifer Brachionus angularis in Kenya: influence of temperature and food density,10.2989/16085914.2016.1186590,Brachionus angularis,Brachionidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,includes population growth data and survival curves; parthenogenetic,2,Yes,Yes,No,No,No,No,NA
Pedro,Exclude,No survival,TEMP1501,1305,25,11B,"O'Neill, E. M.et al.",2018,Body Size and Life History Traits in Native and Introduced Populations of Coqui Frogs,10.1643/CE-17-642,Eleutherodactylus coqui,Eleutherodactylidae,Amphibia,Chordata,Females only,External,No,Lab,Wild-caught,Experimental,Both,Puerto Rico and Hawaii,North America,NA,More than 5 days,Adult,No,Constant,Yes (< 4 days),Yes,No,No,No,No,1,NA,No,Egg size,NA,Egg number,NA,No,NA,1,Yes,No,No,No,No,No,NA
Pedro,Exclude,NA,TEMP1510,1312,25,11B,"Overgaard, J.et al.",2014,Sensitivity to thermal extremes in Australian Drosophila implies similar impacts of climate change on the distribution of widespread and tropical species,10.1111/gcb.12521,"Drosophila bipectinata, Drosophila birchii, Drosophila bunnanda, Drosophila pseudoananassae, Drosophila sulfurigaster, Drosophila busckii, Drosophila hydei, Drosophila melanogaster, Drosophila repleta, Drosophila simulans",Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,Australia,Australasia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,fecundity data in supplementary info; CTL data in Overgaard 2011,1,Yes,No,No,No,No,No,NA
Pedro,Exclude,NA,TEMP1519,1319,25,11B,"Paily, K.; Balaraman, K. m. d.",1994,"EFFECT OF TEMPERATURE ON DIFFERENT STAGES OF ROMANOMERMIS-IYENGARI, A MERMITHID NEMATODE PARASITE OF MOSQUITOS",10.1590/S0074-02761994000400022,Romanomermis iyengari,Mermitidae,Enoplea,Nematoda,Females only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,% hatching,NA,No,includes survival curves,1,Yes,No,No,No,No,No,NA
Alessio,Exclude,NA,TEMP152,208,3,2B,"Bari et al, 2015",2015,"Effects of Temperature on the Life Table Parameters of Trichogramma zahiri (Hymenoptera: Trichogrammatidae), an Egg Parasitoid of Dicladispa armigera (Chrysomelidae: Coleoptera)",10.1093/ee/nvu028,Trichogramma zahiri,Trichogrammatidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Egg number, Offspring number",NA,No,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,no adult survival,TEMP1610,1403,27,C,"Pinto, R. L.et al.",2007,Early release of eggs and embryos in a brooding ancient asexual ostracod: brood selection or a gambling strategy to increase fecundity?,10.1007/s10750-007-0641-6,Penthesilenula brasiliensis,Darwinulidae,Crustacea,Arthropoda,Females only,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Brazil,South America,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number eggs per female,NA,No,NA,2,Yes,Yes,No,No,No,No,NA
Mads F. Schou,Exclude,Temperature slowly warms. Taking mean doesn't make sense.,TEMP1612,1405,27,13A,"Piyaphongkul, J.et al.",2012,Heat Stress Impedes Development and Lowers Fecundity of the Brown Planthopper Nilaparvata lugens (Stal),10.1371/journal.pone.0047413,Nilaparvata lugens,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,"Ramping, males and females tested separately",1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,Natural variation in temp,TEMP1710,1487,28,C,"Reddy, A. M.et al.",2019,"Variation in cool temperature performance between populations of Neochetina eichhorniae (Coleoptera: Curculionidae) and implications for the biological control of water hyacinth, Eichhornia crassipes, in a temperate climate",10.1016/j.biocontrol.2018.09.016,Neochetina eichhorniae,Brachyceridae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,Yes,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Rhonda Snook,Exclude,NA,TEMP1726,1504,29,14C,"Rhyne, A. L.et al.",2009,Effects of temperature on reproduction and survival of the calanoid copepod Pseudodiaptomus pelagicus,10.1016/j.aquaculture.2009.03.041,Pseudodiaptomus pelagicus,Pseudodiaptomidae,Crustacea,Arthropoda,Both sexes,Internal,Other,Lab,Farmed,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Egg number, Offspring number",NA,No,NA,2,Yes,Yes,No,No,No,No,NA
Alessio,Exclude,NA,TEMP178,226,3,2B,"Benbellil-Tafoughalt et al, 2009",2009,"EFFECTS OF TEMPERATURE AND PHOTOPERIOD ON GROWTH AND REPRODUCTION OF THE LAND SNAIL HELIX APERTA BORN (GASTROPODA, PULMONATA)",NA,Helix aperta,Helicidae,Gastropoda,Mollusca,Hermaphrodite,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,Photoperiod,Egg size,NA,"Clutch size, Clutch number, hatching success",Mating rate,No,"also data on egg weight and hatchability, but without sample sizes",1,Yes,No,No,No,No,No,NA
Rhonda Snook,Exclude,NA,TEMP1785,1553,30,14C,"Ryan, G. D.et al.",2016,Thermal Tolerances of the Spotted-Wing Drosophila Drosophila suzukii (Diptera: Drosophilidae),10.1093/jee/tow006,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Canada,North America,NA,More than 5 days,Mix,Yes,Constant,Yes (< 4 days),Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,sample sizes not clear,TEMP1957,1702,33,C,"Soh, B. S. B.et al.",2018,Effect of temperature on the biological parameters of the cabbage aphid Brevicoryne brassicae,10.1002/ece3.4639,Brevicoryne brassicae,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Cameroon,Africa,NA,More than 5 days,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Hester Weaving,Exclude,Survival only given as median so did not include,TEMP1970,1711,33,16C,"Sporleder, M.et al.",2017,"Temperature-dependent phenology and growth potential of the Andean potato tuber moth, Symmetrischema tangolias (Gyen) (Lep., Gelechiidae",10.1111/jen.12321,Symmetrischema tangolias,Gelechiidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Mix,Experimental,Terrestrial,Peru,South America,NA,More than 5 days,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Hester Weaving,Exclude,Survival curve,TEMP1973,1713,33,16C,"Stacconi, M. V. R.et al.",2017,Comparative life history traits of indigenous Italian parasitoids of Drosophila suzukii and their effectiveness at different temperatures,10.1016/j.biocontrol.2017.06.003,"Leptopilina heterotoma, Pachycrepoideus vindemiae, Trichopria drosophilae",Mix,Insecta,Arthropoda,Females only,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Italy,Europe,NA,More than 5 days,Mix,Yes,Constant,Yes (< 4 days),Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,fecundity given as regression coeff / no adult survival / natural varyign temp,TEMP1995,1734,33,C,"Stopher, K. V.et al.",2014,Multiple pathways mediate the effects of climate change on maternal reproductive traits in a red deer population,10.1890/13-0967.1,Cervus elaphus,Cervidae,Mammalia,Chordata,Females only,Internal,No,Field,Wild,Natural,Terrestrial,Scotland,Europe,NA,Natural variation,Juvenile,Yes,Fluctuating,NA,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,3,Yes,No,Yes,No,Yes,No,NA
Amanda Bretman,Exclude,NA,TEMP2031,1762,34,23A,"Tamayo, L. D.et al.",2018,The effect of temperature increase on the development of Rhodnius prolixus and the course of Trypanosoma cruzi metacyclogenesis,10.1371/journal.pntd.0006735,Rhodnius prolixus,Reduviidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,no adult longevity data,1,Yes,No,No,No,No,No,NA
Alessio,Exclude,NA,TEMP204,249,3,2B,"Blanckenhorn, 2000",2000,Temperature effects on egg size and their fitness consequences in the yellow dung fly Scathophaga stercoraria,10.1023/A:1010911017700,Scathophaga stercoraria,Scathophagidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Mix,Experimental,Terrestrial,Switzerland,Europe,NA,More than 5 days,Mix,No,Constant,No,Yes,Yes,No,No,No,2,No,Food level,"Egg size, Egg mortality",NA,"Clutch size, Clutch number, hatching success",NA,No,same experiment with limited and with unlimited food -> two effect sizes; also egg mortality but without sample sizes,1,Yes,No,No,No,No,No,NA
Emily Churchill,Exclude,NA,TEMP2046,1776,34,22B,"Tee, H.-S.; Lee, C.-Y. m. f.",2017,Influences of Temperature and Ootheca Age on the Life History of the Cockroach Ootheca Parasitoid Aprostocetus hagenowii (Hymenoptera: Eulophidae,10.1093/jee/tow287,Aprostocetus hagenowii,Eulophidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Mix,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,Data could be harvested from curves (fecundity and survival),1,Yes,No,No,No,No,No,NA
Ina Lindenbaum,Exclude,NA,TEMP2053,1780,34,15A,"THAUNG, M.; COLLINS, P. m. a.",1986,"JOINT EFFECTS OF TEMPERATURE AND INSECTICIDES ON MORTALITY AND FECUNDITY OF SITOPHILUS-ORYZAE (COLEOPTERA, CURCULIONIDAE) IN WHEAT AND MAIZE",10.1093/jee/79.4.909,Sitophilus oryzae,Curculionidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,"Host plant, insecticide",NA,NA,Fecundity,NA,No,life table parameters available,1,Yes,No,No,No,No,No,NA
Graziella Iossa,Exclude,NA,TEMP2076,1798,34,25C,"Tropea, C.et al.",2015,"Effect of Temperature on Biochemical Composition, Growth and Reproduction of the Ornamental Red Cherry Shrimp Neocaridina heteropoda heteropoda (Decapoda, Caridea)",10.1371/journal.pone.0119468,Neocaridina heteropoda,Atyidae,Crustacea,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,NA,2,Yes,Yes,No,No,No,No,NA
Ina Lindenbaum,Exclude,NA,TEMP2111,1830,35,15A,"Vangansbeke, D.et al.",2013,"Alternating temperatures affect life table parameters of Phytoseiulus persimilis, Neoseiulus californicus (Acari: Phytoseiidae) and their prey Tetranychus urticae (Acari: Tetranychidae)",10.1007/s10493-013-9704-8,"Phytoseiulus persimilis, Neoseiulus californicus, Tetranychus urticae",Mix,Arachnida,Arthropoda,Both sexes,Internal,Mix,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Both,No,Yes,No,No,No,No,1,NA,Predation,NA,NA,Egg number,NA,No,constant + fluctuating treatment with same mean; life table parameters available,1,Yes,No,No,No,No,No,NA
Ben Cole,Exclude,NA,TEMP2136,1853,36,18C,"Vollmer, J. H.et al.",2004,Heat and cold-induced male sterility in Drosophila buzzatii: genetic variation among populations for the duration of sterility,10.1038/sj.hdy.6800405,Drosophila buzzatii,Drosophilidae,Insecta,Arthropoda,Males only,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Male fertility (hatching percentage), duration of heat-induced sterility, threshold of male sterility",NA,No,NA,2,Yes,No,No,No,Yes,No,NA
Hester Weaving,Exclude,Survial rate could be extracted from Figure but would be complicated,TEMP2143,1857,36,16B,"Wang, H.et al.",2014,Does Temperature-Mediated Reproductive Success Drive the Direction of Species Displacement in Two Invasive Species of Leafminer Fly,10.1371/journal.pone.0098761,"Liriomyza sativae, Liriomyza trifolii",Agromyzidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Reproductive rate,NA,No,NA,1,Yes,No,No,No,No,No,NA
Jasper Rees,Exclude,NA,TEMP2163,1872,36,17B,"Watt, T. J.et al.",2016,Reproductive and developmental biology of the emerald ash borer parasitoid Spathius galinae (Hymenoptera: Braconidae) as affected by temperature,10.1016/j.biocontrol.2016.01.011,Spathius galinae,Braconidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,No,Survival can be extracted from curves,1,Yes,No,No,No,No,No,NA
Amanda Bretman,Exclude,NA,TEMP2175,1883,36,23A,"Wen, X.-S.et al.",2007,"Hylobitelus xiaoi (Coleoptera : Curculionidae) adult feeding, oviposition, and egg and pupal survival at constant temperatures",10.18474/0749-8004-42.1.28,Hylobitelus xiaoi,Curculionidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,China,Asia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Oviposition rate,NA,No,no adult longevity data,1,Yes,No,No,No,No,No,NA
