Status,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Effect size code,Experiment code,Trait category,Trait,Sex,Rearing temperature,No of temp treatments,Min temp,Max temp,Data location,Test,Statistic,Effect size direction,Total N (replicates),Total animals ,Temp1,N1,ani_1,Prop1,Mean1,SD1,Temp2,N2,ani_2,Prop2,Mean2,SD2,Temp3,N3,ani_3,Prop3,Mean3,SD3,Temp4,N4,ani_4,Prop4,Mean4,SD4,Temp5,N5,ani_5,Prop5,Mean5,SD5,Temp6,N6,ani_6,Prop6,Mean6,SD6,Temp7,N7,ani_7,Prop7,Mean7,SD7,Temp8,N8,ani_8,Prop8,Mean8,SD8,Temp9,N9,ani_9,Prop9,Mean9,SD9,Comment,ref_temp,ref_mean,ref_sd,ref_ani,ref_N,rearing?
Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_5,HUM169E,Longevity,Longevity (DAYS),Female,NA,3,20,30,Table 1,NA,NA,NA,15,15,20,5,5,NA,12.4,0.11,25,5,5,NA,16.2,0.04,30,5,5,NA,11.8,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At 70% humidity,25,16.2,0.04,5,5,N
Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_6,HUM169F,Reproduction,Fecundity,Female,NA,3,20,30,Table 2,NA,NA,NA,15,15,20,5,5,NA,15.8,0.18,25,5,5,NA,28.4,0.54,30,5,5,NA,14.4,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At 70% humidity,25,28.4,0.54,5,5,N
Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_8,HUM169H,Longevity,Longevity (DAYS),Female,NA,3,20,30,Table 1,NA,NA,NA,15,15,20,5,5,NA,11.6,0.36,25,5,5,NA,13.6,0.36,30,5,5,NA,11,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At 90% humidity,25,13.6,0.36,5,5,N
Good,HUM169,2109,41,19A,Kumari & Sadana,1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE",10.1007/BF01246091,Amblyseius alstoniae,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM169_9,HUM169I,Reproduction,Fecundity (Total Eggs),Female,NA,3,20,30,Table 2,NA,NA,NA,15,15,20,5,5,NA,13.2,0.31,25,5,5,NA,17.2,0.18,30,5,5,NA,10.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At 90% humidity,25,17.2,0.18,5,5,N
Good,HUM176,2113,41,19A,Lin et al.,2020,Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya,10.11158/saa.25.3.8,Eutetranychus africanus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,No,HUM176_2,HUM176B,Longevity,Longevity (DAYS),Female,NA,4,17,32,Table 2,NA,NA,NA,122,122,17,12,12,NA,17.5,9.15,22,46,46,NA,6.65,3.87,27,28,28,NA,6.89,3.39,32,36,36,NA,3.64,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,6.89,3.39,28,28,N
Good,HUM176,2113,41,19A,Lin et al.,2020,Temperature-dependent life history of Eutetranychus africanus (Acari: Tetranychidae) on papaya,10.11158/saa.25.3.8,Eutetranychus africanus,Tetranychidae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,No,HUM176_3,HUM176C,Reproduction,Eggs per female,Female,NA,4,17,32,Table 2,NA,NA,NA,122,122,17,12,12,NA,14.2,10.5,22,46,46,NA,13.78,10.04,27,28,28,NA,17.61,15.61,32,36,36,NA,7.08,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,17.61,15.61,28,28,N
Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_1,HUM209A,Longevity,Longevity (DAYS),Female,NA,4,15,30,Table 2,NA,NA,NA,80,80,15,20,20,NA,149.4,99.28,20,20,20,NA,86.7,57.69,25,20,20,NA,48.8,35.78,30,20,20,NA,33.6,25.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,48.8,35.78,20,20,N
Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_3,HUM209C,Reproduction,Fecundity (number of laid eggs),Female,NA,4,15,30,Table 2,NA,NA,NA,80,80,15,20,20,NA,12.3,19.68,20,20,20,NA,44.6,56.8,25,20,20,NA,31.2,25.04,30,20,20,NA,33.8,33.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,31.2,25.04,20,20,N
Good,HUM209,2131,41,19B,Mota et al.,2008,Temperature dependence for development of the whitefly predator Clitostethus arcuatus (Rossi,10.1007/s10526-007-9101-5,Clitostethus arcuatus,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM209_4,HUM209C,Reproduction,Fertility (number of eggs with embryos),Female,NA,4,15,30,Table 2,NA,NA,NA,80,80,15,20,20,NA,7.2,11.18,20,20,20,NA,34.5,43.83,25,20,20,NA,30.3,24.15,30,20,20,NA,24.5,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30.3,24.15,20,20,N
Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_2,HUM22B,Longevity,Longevity of ovipositing females,Female,NA,5,15,30,Table 2,NA,NA,NA,75,75,15,15,15,NA,55.9,17.43,17.5,15,15,NA,40,12.78,20,15,15,NA,41.6,12.01,25,15,15,NA,41.6,6.16,30,15,15,NA,22.2,12.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,41.6,6.16,15,15,N
Good,HUM22,2018,39,24A,"Armes, 1990",1990,"THE BIOLOGY OF ANTHRENUS-SARNICUS MROCZKOWSKI (COLEOPTERA, DERMESTIDAE) .2. PUPAL AND ADULT STAGES",10.1016/0022-474X(91)90032-8,Anthrenus sarnicus,Dermestidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,HUM22_4,HUM22B,Reproduction,Eggs per female,Female,NA,5,15,30,Table 2,NA,NA,NA,75,75,15,15,15,NA,32,15.1,17.5,15,15,NA,43,17.82,20,15,15,NA,51.7,24.4,25,15,15,NA,43.1,19.36,30,15,15,NA,23,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,43.1,19.36,15,15,N
Good,HUM220,2140,41,19A,Oliveira et al.,2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements",10.1590/1519-6984.180501,Corythucha gossypii,Tingidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM220_2,HUM220A,Longevity,Longevity (DAYS),Female,NA,4,20,28,Table 3,NA,NA,NA,20,20,20,3,3,NA,14.17,2.56,23,6,6,NA,46.82,5.34,25,6,6,NA,34.53,4.41,28,5,5,NA,24.3,8.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,34.53,4.41,6,6,N
Good,HUM220,2140,41,19A,Oliveira et al.,2019,"Biology of Corythucha gossypii Fabricius, 1794 (Hemiptera: Tingidae) in Ricinus communis at different temperatures and thermal requirements",10.1590/1519-6984.180501,Corythucha gossypii,Tingidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Natural,Terrestrial,NA,NA,NA,Natural variation,Mix,No,Constant,NA,HUM220_3,HUM220B,Reproduction,Fecundity (Total Eggs),Female,NA,3,23,28,Table 3,NA,NA,NA,17,17,23,6,6,NA,146.33,76.35,25,6,6,NA,148,80.34,28,5,5,NA,167,62.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,148,80.34,6,6,N
Good,HUM254,2160,42,25A,Sanchez-Ramos & Castanera,2005,Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae,10.1007/s10493-005-0506-5,Tyrophagus putrescentiae,Acaridae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),HUM254_1,HUM254A,Reproduction,eggs per female,Female,25,7,10,34,Figure 1,NA,NA,NA,420,420,10,70,70,NA,32.04,10,15,70,70,NA,414.8,179,20,70,70,NA,557.2,208.3,25,70,70,NA,489.6,223.4,30,70,70,NA,327.6,164,32.5,70,70,NA,218.99,119.1,34,70,70,NA,71.21,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD for 10C too small to see on figure- picked arbitrary small number,25,489.6,223.4,70,70,Y
Good,HUM254,2160,42,25A,Sanchez-Ramos & Castanera,2005,Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae,10.1007/s10493-005-0506-5,Tyrophagus putrescentiae,Acaridae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),HUM254_2,HUM254A,Longevity,longevity (days),Both sexes,25,7,10,34,Figure 1,NA,NA,NA,420,420,10,70,70,NA,95.37,2.88,15,70,70,NA,74.28,5.27,20,70,70,NA,48.88,3.83,25,70,70,NA,37.38,3.35,30,70,70,NA,35.46,2.39,32.5,70,70,NA,34.02,2.4,34,70,70,NA,28.75,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,37.38,3.35,70,70,Y
Good,HUM254,2160,42,25A,Sanchez-Ramos & Castanera,2005,Effect of temperature on reproductive parameters and longevity of Tyrophagus putrescentiae (Acari : Acaridae,10.1007/s10493-005-0506-5,Tyrophagus putrescentiae,Acaridae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (> 4 days),HUM254_3,HUM254A,Longevity,longevity (days),Both sexes,25,7,10,34,Figure 1,NA,NA,NA,420,420,10,70,70,NA,113.1,4.79,15,70,70,NA,124.6,2.9,20,70,70,NA,126.03,5.27,25,70,70,NA,80.99,2.87,30,70,70,NA,63.26,2.39,32.5,70,70,NA,47.77,1.59,34,70,70,NA,37.38,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,80.99,2.87,70,70,Y
Good,HUM256,2163,42,25A,Sanchez-Ramos et al. (b),2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures",10.1007/s10493-007-9118-6,Tyrophagus neiswanderi,Acaridae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (multiple generations),HUM256_1,HUM256A,Reproduction,eggs per female,Female,25,6,10,31,Table 1,NA,NA,NA,364,364,10,64,64,NA,306.2,149.6,15,64,64,NA,372.6,209.6,20,70,70,NA,387,216.7,25,64,64,NA,401.8,159.2,29,61,61,NA,251.4,122.6,31,41,41,NA,66.2,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean +-SE at temperature level, SD calculated per group sample size (see sample deviation calculation sheet)",25,401.8,159.2,64,64,Y
Good,HUM256,2163,42,25A,Sanchez-Ramos et al. (b),2007,"Reproduction, longevity and life table parameters of Tyrophagus neiswanderi (Acari : Acaridae) at constant temperatures",10.1007/s10493-007-9118-6,Tyrophagus neiswanderi,Acaridae,Arachnida,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,Yes (multiple generations),HUM256_2,HUM256A,Longevity,longevity (days),Female,25,6,10,31,Table 1,NA,NA,NA,364,364,10,64,64,NA,124.6,71.2,15,64,64,NA,89.4,41.2,20,70,70,NA,88.1,46.8,25,64,64,NA,78.1,30.4,29,61,61,NA,40.8,18,31,41,41,NA,19.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean +-SE at temperature level, SD calculated per group sample size (see sample deviation calculation sheet)",25,78.1,30.4,64,64,Y
Good,HUM257,2161,42,19C,Sanchez-Ramos & Castanera,2007,Effect of temperature on reproductive parameters and the longevity of Acarus farris (Acarl : Acaridae,10.1016/j.jspr.2007.03.008,Acarus farris,Acaridae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,Yes,Constant,Yes (multiple generations),HUM257_1,HUM257A,Reproduction,Fecundity (eggs per female),Female,25,6,7,29,Table 1,NA,NA,NA,368,368,7,51,51,NA,68.4,49.99,10,59,59,NA,260.7,152.85,15,64,64,NA,324.4,172.8,20,62,62,NA,308.9,162.2,25,75,75,NA,212.7,122.98,29,57,57,NA,48.1,28.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,212.7,122.98,75,75,Y
